Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1896,-0.24,-0.16,-0.31,-0.33,-0.21,-0.15,-0.07,-0.1,-0.05,0.03,-0.17,-0.13,-0.16,-0.16,-0.18,-0.28,-0.11,-0.06
1897,-0.23,-0.2,-0.13,-0.02,-0.02,-0.14,-0.06,-0.04,-0.05,-0.1,-0.19,-0.27,-0.12,-0.11,-0.19,-0.06,-0.08,-0.11
1898,-0.07,-0.34,-0.56,-0.33,-0.36,-0.21,-0.23,-0.23,-0.2,-0.33,-0.36,-0.23,-0.29,-0.29,-0.23,-0.42,-0.23,-0.3
1899,-0.19,-0.41,-0.36,-0.22,-0.21,-0.27,-0.14,-0.04,-0.02,-0.01,0.11,-0.28,-0.17,-0.17,-0.28,-0.26,-0.15,0.03
1900,-0.41,-0.08,0.01,-0.15,-0.07,-0.16,-0.09,-0.04,0.01,0.07,-0.14,-0.15,-0.1,-0.11,-0.26,-0.07,-0.1,-0.02
1901,-0.3,-0.06,0.04,-0.07,-0.19,-0.11,-0.1,-0.14,-0.17,-0.3,-0.18,-0.31,-0.16,-0.14,-0.17,-0.07,-0.12,-0.22
1902,-0.21,-0.05,-0.3,-0.29,-0.31,-0.35,-0.27,-0.28,-0.22,-0.28,-0.37,-0.47,-0.28,-0.27,-0.19,-0.3,-0.3,-0.29
1903,-0.29,-0.07,-0.24,-0.41,-0.43,-0.45,-0.31,-0.44,-0.43,-0.42,-0.4,-0.48,-0.36,-0.36,-0.28,-0.36,-0.4,-0.42
1904,-0.65,-0.55,-0.47,-0.51,-0.51,-0.5,-0.49,-0.44,-0.47,-0.36,-0.18,-0.3,-0.45,-0.47,-0.56,-0.5,-0.48,-0.34
1905,-0.39,-0.6,-0.26,-0.37,-0.34,-0.32,-0.25,-0.21,-0.15,-0.24,-0.09,-0.22,-0.29,-0.29,-0.43,-0.32,-0.26,-0.16
